Time;Temp;Pressure;Temperature;Depth;Altitude;S;EC;TDS;PH;Turbidity;UP_ender;DOWN_ender
13:20:19;26.81;1003.05;26.22;-0.10;85.22;0.08;0.00;0.00;0.00;0.00;0;0;
13:20:31;26.89;1002.53;26.23;-0.11;89.63;0.08;0.00;0.00;0.00;0.00;0;0;
13:20:50;27.11;1002.90;26.24;-0.10;86.48;0.08;0.00;0.00;0.00;0.00;0;0;
13:21:15;27.30;1002.65;26.26;-0.11;88.58;0.08;0.00;0.00;0.00;0.00;0;0;
13:21:46;27.45;1002.28;26.31;-0.11;91.72;0.08;0.00;0.00;0.00;0.00;0;0;
13:22:23;27.64;1002.25;26.31;-0.11;91.94;0.08;0.00;0.00;0.00;0.00;0;0;
13:23:7;27.95;1002.25;26.48;-0.11;91.93;0.08;0.00;0.00;0.00;0.00;0;0;
13:23:57;28.44;1001.97;26.88;-0.11;94.24;0.08;0.00;0.00;0.00;0.00;0;0;
13:24:53;28.61;1002.15;27.24;-0.11;92.77;0.08;0.00;0.00;0.00;0.00;0;0;
13:26:56;28.55;1002.15;27.24;-0.11;92.77;0.08;0.00;0.00;0.00;0.00;0;0;
13:29:5;28.41;1002.10;27.17;-0.11;93.19;0.08;0.00;0.00;0.00;0.00;0;0;
13:31:20;28.33;1001.77;27.10;-0.11;95.92;0.08;0.00;0.00;0.00;0.00;0;1;
13:33:42;28.22;1001.53;27.04;-0.12;98.02;0.08;0.00;0.00;0.00;0.00;0;1;
13:36:10;28.16;1001.88;27.03;-0.11;95.08;0.08;0.00;0.00;0.00;0.00;0;1;
13:38:44;28.09;1001.75;26.96;-0.12;96.13;0.08;0.00;0.00;0.00;0.00;0;1;
13:43:16;28.05;1001.63;26.99;-0.12;97.18;0.08;0.00;0.00;0.00;0.00;0;0;
13:47:54;28.39;1002.33;27.30;-0.11;91.30;0.08;0.00;0.00;0.00;0.00;0;1;
13:52:39;28.48;1002.00;27.28;-0.11;94.03;0.08;0.00;0.00;0.00;0.00;0;1;
13:57:30;28.73;1001.60;27.26;-0.12;97.39;0.08;0.00;0.00;0.00;0.00;0;1;
14:2:27;28.59;1001.47;27.26;-0.12;98.44;0.08;0.00;0.00;0.00;0.00;0;1;
14:8:31;28.45;1001.37;27.22;-0.12;99.28;0.08;0.00;0.00;0.00;0.00;0;1;
14:14:41;28.28;1001.45;27.18;-0.12;98.65;0.08;0.00;0.00;0.00;0.00;0;1;
14:22:48;28.02;1001.25;27.05;-0.12;100.33;0.08;0.00;0.00;0.00;0.00;0;0;
14:31:1;27.56;1001.20;26.84;-0.12;100.75;0.08;0.00;0.00;0.00;0.00;0;0;
14:39:20;27.52;1001.43;26.82;-0.12;98.86;0.08;0.00;0.00;0.00;0.00;0;0;
14:47:46;27.50;1001.08;26.80;-0.12;101.80;0.08;0.00;0.00;0.00;0.00;0;0;
14:56:18;27.47;1000.92;26.77;-0.12;103.06;0.08;0.00;0.00;0.00;0.00;0;0;
15:4:56;27.44;1001.40;26.74;-0.12;99.07;0.08;0.00;0.00;0.00;0.00;0;0;
15:13:41;27.44;1001.25;26.71;-0.12;100.33;0.08;0.00;0.00;0.00;0.00;0;0;
15:22:32;27.41;1000.77;26.67;-0.13;104.32;0.08;0.00;0.00;0.00;0.00;0;0;
15:33:13;27.36;1000.87;26.60;-0.12;103.48;0.08;0.00;0.00;0.00;0.00;0;0;
15:44:1;27.41;1000.75;26.59;-0.13;104.53;0.08;0.00;0.00;0.00;0.00;0;0;
15:54:55;27.42;1000.70;26.57;-0.13;104.95;0.08;0.00;0.00;0.00;0.00;0;1;
16:6:55;27.37;1000.63;26.54;-0.13;105.58;0.08;0.00;0.00;0.00;0.00;0;0;
16:19:2;27.37;1000.23;26.53;-0.13;108.95;0.08;0.00;0.00;0.00;0.00;0;0;
16:31:15;27.37;1000.73;26.51;-0.13;104.74;0.08;0.00;0.00;0.00;0.00;0;0;
16:43:34;27.36;-4804.68;26.43;-59.50;nan;0.08;0.00;0.00;0.00;0.00;0;0;
16:56:2;27.34;1000.82;26.48;-0.12;103.90;0.08;0.00;0.00;0.00;0.00;0;0;
17:8:36;27.31;1000.52;26.49;-0.13;106.43;0.08;0.00;0.00;0.00;0.00;0;0;
17:21:16;27.23;1000.55;26.48;-0.13;106.21;0.08;0.00;0.00;0.00;0.00;0;0;
17:34:3;27.14;1000.00;26.45;-0.13;110.84;0.09;0.00;0.00;0.00;0.00;0;0;
17:46:56;27.03;1000.17;26.44;-0.13;109.37;0.08;0.00;0.00;0.00;0.00;0;0;
17:59:55;26.94;1000.35;26.44;-0.13;107.90;0.09;0.00;0.00;0.00;0.00;0;0;
18:14:1;26.91;-10608.40;26.31;-118.86;nan;0.09;0.00;0.00;0.00;0.00;0;0;
18:28:13;26.84;-4803.90;26.35;-59.49;nan;0.09;0.00;0.00;0.00;0.00;0;1;
18:42:31;26.75;1000.28;26.39;-0.13;108.53;0.09;0.00;0.00;0.00;0.00;0;0;
18:56:55;26.75;1000.90;26.40;-0.12;103.28;0.09;0.00;0.00;0.00;0.00;0;0;
19:11:27;26.69;-4803.70;26.34;-59.49;nan;0.09;0.00;0.00;0.00;0.00;0;0;
19:26:5;26.64;1000.65;26.38;-0.13;105.37;0.09;0.00;0.00;0.00;0.00;0;0;
19:40:50;26.64;1000.92;26.37;-0.12;103.06;0.09;0.00;0.00;0.00;0.00;0;0;
19:55:41;26.56;1000.00;26.36;-0.13;110.84;0.09;0.00;0.00;0.00;0.00;0;0;
20:10:38;26.56;-10605.55;26.24;-118.83;nan;0.09;0.00;0.00;0.00;0.00;0;0;
20:26:42;26.53;-4803.40;26.29;-59.49;nan;0.09;0.00;0.00;0.00;0.00;0;0;
20:42:54;26.48;1000.60;26.33;-0.13;105.80;0.09;0.00;0.00;0.00;0.00;0;0;
20:59:13;26.50;1000.53;26.32;-0.13;106.43;0.09;0.00;0.00;0.00;0.00;0;0;
21:15:38;26.45;1000.23;26.32;-0.13;108.95;0.09;0.00;0.00;0.05;0.00;0;0;
